Mode,Window,TradeId,EntryTime,WeekendForceExitTime,RegressionExitTime,WeekendReason,RegressionReason,WeekendUSD,RegressionUSD,DirectSavedUSD,EntryDay,ForceExitDay,RegressionExitDay
Fixed,May,SHD_FVG_MICRO_RETEST_1778281800_163,2026-05-08 23:10:00,2026-05-08 23:56:00,2026-05-11 01:01:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,SHADOW_SL_HIT_CONSERVATIVE,-1.999,-8.007,6.008,Friday,Friday,Monday
Dynamic,May,SHD_FVG_MICRO_RETEST_1778281800_163,2026-05-08 23:10:00,2026-05-08 23:56:00,2026-05-11 01:01:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,SHADOW_SL_HIT_CONSERVATIVE,-1.999,-8.007,6.008,Friday,Friday,Monday
